,Lifetime,Conf1,Conf2,Conf3,Conf4,Conf5,Conf6,Conf7
0,Real_lifetime,0.09802999999999999,0.07622999999999999,0.17793,0.020145,0.143175,0.027030000000000002,0.26172
1,Neda_Lifetime_bootstrap,0.08623,0.075225,0.17475,0.01701,0.139165,0.025475,0.251295
